order_item_id,product_id,order_id,ordered_quantity,order_quantity_accepted,rate,Potential sale,Actual Sale,Difference
62715,10975,120075,2,2,19029,38058,38058,0
62716,11907,120078,3,3,3932.25,11796.75,11796.75,0
62717,12688,120081,1,0,1023.81,1023.81,0,1023.81
62718,12688,120084,2,0,1023.81,2047.62,0,2047.62
62719,11125,120087,4,4,1892,7568,7568,0
62720,8428,120087,10,10,1540,15400,15400,0
62721,10975,120090,1,0,11254.5,11254.5,0,11254.5
62722,9916,120093,3,3,2722.88,8168.64,8168.64,0
62723,7243,120096,1,0,3179.91,3179.91,0,3179.91
62724,7774,120099,5,0,2947,14735,0,14735
62725,7243,120102,1,0,3179.91,3179.91,0,3179.91
62726,10235,120105,9,9,1324.5,11920.5,11920.5,0
62727,12407,120108,1,1,11271,11271,11271,0
62728,7775,120111,3,0,6144,18432,0,18432
62729,7774,120114,5,0,2947,14735,0,14735
62730,11907,120117,3,0,3932.25,11796.75,0,11796.75
62731,11907,120120,3,0,3932.25,11796.75,0,11796.75
62732,9916,120123,1,1,2722.88,2722.88,2722.88,0
62733,11907,120126,3,0,3932.25,11796.75,0,11796.75
62734,11907,120129,3,0,3932.25,11796.75,0,11796.75
62735,11147,120132,1,0,1365,1365,0,1365
62736,3284,120135,1,1,3306,3306,3306,0
62737,11147,120135,1,1,1365,1365,1365,0
62738,11907,120138,3,0,3932.25,11796.75,0,11796.75
62739,8455,120141,5,0,2665,13325,0,13325
62740,7607,120144,1,0,6408,6408,0,6408
62741,8425,120147,3,3,3522.2,10566.6,10566.6,0
62742,10236,120147,1,1,1380,1380,1380,0
62743,10236,120147,2,2,1293,2586,2586,0
62744,11169,120150,2,0,5145,10290,0,10290
62745,2862,120153,2,2,4200,8400,8400,0
62746,8219,120156,85,85,13288.2,1129497,1129497,0
62747,8219,120156,5,5,13488.3,67441.5,67441.5,0
62748,8219,120156,10,10,13597,135970,135970,0
62749,7640,120159,10,10,12883.8,128838,128838,0
62750,1548,120162,5,0,10509,52545,0,52545
62751,3610,120165,1,0,12364,12364,0,12364
62752,3610,120165,2,0,8085,16170,0,16170
62753,1041,120168,1,0,4693.47,4693.47,0,4693.47
62754,8425,120171,2,0,4007,8014,0,8014
62755,3610,120174,5,0,12364,61820,0,61820
62756,8425,120177,2,0,4007,8014,0,8014
62757,11106,120177,3,0,4116,12348,0,12348
62758,1041,120180,1,0,4972.44,4972.44,0,4972.44
62759,12652,120183,1,1,7203.4,7203.4,7203.4,0
62760,8664,120186,5,0,2288.2,11441,0,11441
62761,2862,120189,1,0,4200,4200,0,4200
